,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,Mom   
249,579,11.35,3.46,0.1,-2.16,-0.86,0.0,2011,10,-1.43
250,580,-0.28,-0.28,-0.46,1.86,1.49,0.0,2011,11,3.84
251,581,0.74,-0.33,1.63,0.98,2.52,0.0,2011,12,1.81
252,582,5.05,2.06,-0.97,-2.01,-1.43,0.0,2012,1,-7.91
253,583,4.42,-1.71,0.43,-0.48,-0.01,0.0,2012,2,-0.29
254,584,3.11,-0.47,1.14,-0.54,0.74,0.0,2012,3,1.3
255,585,-0.85,-0.55,-0.78,1.3,0.65,0.0,2012,4,3.75
256,586,-6.19,-0.12,-1.07,2.08,2.31,0.01,2012,5,6.49
257,587,3.89,0.84,0.62,-1.09,0.46,0.0,2012,6,-1.06
258,588,0.79,-2.78,-0.02,1.1,0.05,0.0,2012,7,3.04
259,589,2.55,0.44,1.3,-1.33,-0.84,0.01,2012,8,-2.37
260,590,2.73,0.61,1.6,-1.49,1.55,0.01,2012,9,-1.14
261,591,-1.76,-0.89,3.59,-1.34,2.5,0.01,2012,10,0.14
262,592,0.78,0.46,-0.84,0.6,0.84,0.01,2012,11,0.49
263,593,1.18,1.89,3.51,-1.85,0.91,0.01,2012,12,-2.86
264,594,5.57,0.48,0.96,-1.93,1.41,0.0,2013,1,-1.79
265,595,1.29,-0.25,0.11,-0.67,0.52,0.0,2013,2,1.29
266,596,4.03,0.85,-0.19,0.14,1.38,0.0,2013,3,1.92
267,597,1.55,-2.25,0.45,0.27,0.37,0.0,2013,4,0.22
268,598,2.8,2.06,2.63,-1.97,-0.87,0.0,2013,5,-2.02
269,599,-1.2,1.57,0.03,-0.38,0.0,0.0,2013,6,0.52
270,600,5.65,1.81,0.57,-1.35,0.51,0.0,2013,7,1.76
271,601,-2.71,-0.06,-2.69,0.66,-2.16,0.0,2013,8,0.02
272,602,3.77,2.63,-1.22,-0.58,-1.36,0.0,2013,9,3.06
273,603,4.18,-1.48,1.25,2.78,0.87,0.0,2013,10,0.08
274,604,3.13,1.41,0.32,0.14,0.04,0.0,2013,11,0.44
275,605,2.81,-0.45,-0.02,-0.46,0.09,0.0,2013,12,0.02
276,606,-3.32,0.58,-2.07,-3.88,-1.42,0.0,2014,1,1.71
277,607,4.65,0.14,-0.31,-0.23,-0.45,0.0,2014,2,2.07
278,608,0.43,-1.09,4.93,2.13,1.92,0.0,2014,3,-3.29
279,609,-0.19,-4.12,1.17,3.48,1.02,0.0,2014,4,-3.89
280,610,2.06,-1.89,-0.13,0.05,-1.0,0.0,2014,5,0.87
281,611,2.61,3.11,-0.7,-1.89,-2.0,0.0,2014,6,0.69
282,612,-2.04,-4.29,0.03,0.89,0.52,0.0,2014,7,-0.12
283,613,4.24,0.31,-0.45,-0.64,-0.7,0.0,2014,8,0.82
284,614,-1.97,-3.72,-1.34,1.3,-0.51,0.0,2014,9,0.5
285,615,2.52,3.73,-1.81,-0.57,-0.11,0.0,2014,10,-0.06
286,616,2.55,-2.28,-3.09,1.5,0.27,0.0,2014,11,0.69
287,617,-0.06,2.86,2.27,-1.22,0.96,0.0,2014,12,1.12
288,618,-3.11,-0.92,-3.58,1.61,-1.65,0.0,2015,1,3.84
289,619,6.13,0.32,-1.86,-1.12,-1.82,0.0,2015,2,-2.82
290,620,-1.12,3.07,-0.37,0.09,-0.52,0.0,2015,3,2.74
291,621,0.59,-3.09,1.82,0.06,-0.61,0.0,2015,4,-7.27
292,622,1.36,0.83,-1.14,-1.79,-0.74,0.0,2015,5,5.82
293,623,-1.53,2.9,-0.79,0.44,-1.58,0.0,2015,6,3.01
294,624,1.54,-4.55,-4.13,0.3,-2.41,0.0,2015,7,9.98
295,625,-6.04,0.25,2.77,0.68,1.19,0.0,2015,8,-2.09
296,626,-3.07,-2.79,0.56,1.77,-0.58,0.0,2015,9,5.22
297,627,7.75,-2.07,-0.46,0.88,0.52,0.0,2015,10,-3.28
298,628,0.56,3.31,-0.42,-2.75,-0.99,0.0,2015,11,2.28
299,629,-2.17,-2.99,-2.61,0.5,-0.02,0.01,2015,12,3.36
300,630,-5.77,-3.47,2.09,2.82,3.08,0.01,2016,1,1.44
301,631,-0.07,0.88,-0.57,3.25,2.02,0.02,2016,2,-4.38
302,632,6.96,1.07,1.19,0.77,-0.08,0.02,2016,3,-5.01
303,633,0.91,1.23,3.28,-2.97,1.9,0.01,2016,4,-6.02
304,634,1.78,-0.61,-1.66,-1.09,-2.48,0.01,2016,5,1.42
305,635,-0.05,0.45,-1.48,1.4,1.94,0.02,2016,6,4.13
306,636,3.95,2.48,-1.32,1.26,-1.18,0.02,2016,7,-3.34
307,637,0.49,1.68,3.18,-1.85,-0.34,0.02,2016,8,-3.49
308,638,0.25,1.85,-1.24,-2.21,0.03,0.02,2016,9,0.19
309,639,-2.02,-4.02,4.09,0.93,0.28,0.02,2016,10,0.59
310,640,4.86,7.07,8.21,-0.18,3.7,0.01,2016,11,-4.62
311,641,1.82,0.41,3.53,1.22,-0.23,0.03,2016,12,-0.26
312,642,1.94,-1.46,-2.75,-0.49,-0.99,0.04,2017,1,-0.93
313,643,3.57,-2.22,-1.67,0.47,-1.83,0.04,2017,2,-1.65
314,644,0.17,0.74,-3.35,0.61,-0.94,0.03,2017,3,-1.02
315,645,1.09,0.48,-2.13,1.9,-1.6,0.05,2017,4,0.48
316,646,1.06,-3.06,-3.78,0.95,-1.79,0.06,2017,5,1.48
