,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,WML
271,277,-2.55,0.24,0.61,-0.45,-0.51,0.0,2013,8,-3.36
272,278,8.79,2.4,-0.71,-1.76,0.63,0.0,2013,9,6.25
273,279,-0.23,0.26,0.27,0.23,-0.25,0.0,2013,10,-2.03
274,280,1.08,-2.44,0.5,0.61,0.35,0.0,2013,11,1.04
275,281,0.8,0.46,-0.07,0.87,-0.26,0.0,2013,12,1.63
276,282,-2.66,5.67,-0.82,1.48,-0.57,0.0,2014,1,-2.44
277,283,-0.56,-2.35,0.79,0.68,0.91,0.0,2014,2,-2.75
278,284,-1.16,1.56,0.96,-1.3,-0.47,0.0,2014,3,-3.01
279,285,-2.33,0.4,0.27,2.08,-0.31,0.0,2014,4,-2.42
280,286,3.79,-1.28,-1.29,0.3,1.53,0.0,2014,5,-0.4
281,287,5.76,2.71,-0.06,-0.56,0.27,0.0,2014,6,0.13
282,288,0.77,0.35,-0.25,1.55,1.1,0.0,2014,7,3.95
283,289,-1.99,2.78,0.86,-0.5,1.18,0.0,2014,8,1.88
284,290,-1.05,-1.52,-0.3,0.0,-0.09,0.0,2014,9,-0.41
285,291,-2.13,-2.85,-0.1,0.28,0.63,0.0,2014,10,0.71
286,292,-0.05,-1.42,-0.45,-0.61,-1.58,0.0,2014,11,-1.04
287,293,-0.85,1.98,1.86,-0.27,0.38,0.0,2014,12,1.16
288,294,2.8,-0.21,-0.23,2.95,1.2,0.0,2015,1,4.22
289,295,5.42,-4.13,1.95,-1.64,-0.04,0.0,2015,2,-3.62
290,296,1.9,0.33,-3.12,1.75,-2.33,0.0,2015,3,0.7
291,297,3.49,-1.02,3.23,-1.56,1.02,0.0,2015,4,-2.7
292,298,0.89,-1.41,1.23,-0.94,0.2,0.0,2015,5,-0.65
293,299,-0.68,3.61,-2.24,2.1,-0.15,0.0,2015,6,1.62
294,300,0.92,-0.86,-1.54,2.35,1.42,0.0,2015,7,0.59
295,301,-5.3,2.08,1.64,-1.19,2.66,0.0,2015,8,-0.73
296,302,-6.21,3.02,1.34,-0.02,-0.01,0.0,2015,9,0.85
297,303,9.26,-4.82,0.88,0.07,-1.47,0.0,2015,10,-3.42
298,304,-0.16,2.53,-2.48,1.74,-2.45,0.0,2015,11,0.68
299,305,0.42,0.71,-0.57,0.79,1.09,0.01,2015,12,2.39
300,306,-7.58,0.66,-1.27,2.79,1.8,0.01,2016,1,2.02
301,307,-1.94,1.85,-4.95,0.91,1.52,0.02,2016,2,0.56
302,308,5.06,3.5,-2.97,0.39,-2.64,0.02,2016,3,0.32
303,309,5.14,-0.8,-0.23,-1.65,-0.27,0.01,2016,4,-0.53
304,310,-1.04,0.7,-0.81,-0.21,-1.28,0.01,2016,5,1.4
305,311,-2.47,2.24,-3.55,2.19,0.89,0.02,2016,6,8.44
306,312,6.72,-0.97,6.44,-2.89,-1.05,0.02,2016,7,-8.26
307,313,-1.17,-2.05,4.6,-0.54,-1.73,0.02,2016,8,-8.5
308,314,2.67,3.95,-3.51,0.99,1.17,0.02,2016,9,4.07
309,315,1.6,0.55,3.58,-0.42,-0.91,0.02,2016,10,-3.95
310,316,-3.88,-1.24,6.31,-2.56,0.51,0.01,2016,11,-7.02
311,317,1.35,0.58,1.34,0.48,-0.85,0.03,2016,12,-2.21
312,318,3.83,1.98,-0.53,-0.34,-0.41,0.04,2017,1,2.67
313,319,1.13,2.65,0.8,-0.78,0.59,0.04,2017,2,-0.59
314,320,0.84,1.23,-2.77,1.72,0.0,0.03,2017,3,1.7
315,321,1.25,-1.37,0.33,0.22,0.45,0.05,2017,4,-0.71
316,322,2.95,2.23,-6.19,2.93,-0.78,0.06,2017,5,0.66
317,323,1.17,1.45,1.24,-2.07,0.37,0.06,2017,6,0.44
318,324,2.33,1.86,0.51,0.99,1.52,0.07,2017,7,1.39
319,325,0.3,2.29,0.09,0.53,0.15,0.09,2017,8,1.4
320,326,1.71,0.0,2.38,-0.61,1.35,0.09,2017,9,1.71
321,327,4.12,-1.23,-0.59,0.26,0.42,0.09,2017,10,1.5
322,328,2.6,0.1,-2.28,1.01,-2.47,0.08,2017,11,0.48
323,329,1.29,1.94,1.96,-1.3,1.23,0.09,2017,12,0.97
324,330,4.41,1.91,-2.86,0.3,-0.28,0.11,2018,1,1.79
325,331,-1.44,0.72,-1.82,0.87,-1.13,0.11,2018,2,-0.61
326,332,-1.49,-0.1,-3.7,1.81,-3.49,0.12,2018,3,-1.18
327,333,0.28,-2.19,4.4,-1.58,1.36,0.14,2018,4,-3.35
328,334,-1.32,1.66,-5.43,3.02,-2.92,0.14,2018,5,3.68
329,335,-2.56,-0.69,-0.66,1.65,-1.13,0.14,2018,6,-1.7
330,336,-0.13,-1.19,2.28,-0.46,0.82,0.16,2018,7,-2.64
331,337,-0.43,-0.12,-2.93,1.03,-2.25,0.16,2018,8,0.85
332,338,2.78,-2.17,0.9,-0.71,0.9,0.15,2018,9,1.47
333,339,-8.82,-0.31,3.9,-1.77,3.07,0.19,2018,10,-3.96
334,340,0.83,0.74,-3.65,1.2,-2.07,0.18,2018,11,-0.59
335,341,-7.3,-4.05,4.29,-0.27,2.96,0.19,2018,12,1.48
336,342,5.21,-1.17,-1.5,1.01,-0.72,0.21,2019,1,-4.47
337,343,0.29,2.2,-3.64,1.19,-2.28,0.18,2019,2,1.06
338,344,0.17,-0.35,-2.54,0.45,-1.1,0.19,2019,3,0.96
339,345,1.21,-0.55,-1.43,0.47,-1.71,0.21,2019,4,-3.86
340,346,-3.8,0.54,-1.57,1.93,-0.16,0.21,2019,5,4.08
341,347,2.51,-0.43,0.1,-0.58,0.36,0.18,2019,6,-0.88
342,348,0.34,1.25,-2.37,2.14,-1.92,0.19,2019,7,-0.74
343,349,-1.28,-2.03,-2.38,0.89,0.85,0.16,2019,8,2.24
344,350,3.83,-0.63,3.3,-1.82,0.97,0.18,2019,9,-3.61
345,351,4.83,0.84,2.42,0.39,0.32,0.15,2019,10,-4.28
