,Cnsmr,Manuf,HiTec,Hlth ,Other,Year,Month
2002,4.61,4.26,9.65,9.77,4.92,1995,7
2003,1.69,1.49,4.37,7.88,4.47,1995,8
2004,1.82,1.42,4.12,5.69,2.68,1995,9
2005,-6.27,-4.81,-5.64,-6.37,-1.89,1995,10
2006,0.58,1.59,2.44,1.23,2.0,1995,11
2007,-1.86,1.23,-0.99,7.18,1.33,1995,12
2008,1.58,2.74,0.25,9.68,3.22,1996,1
2009,3.63,2.5,7.02,5.16,2.34,1996,2
2010,5.0,2.68,0.84,3.35,2.64,1996,3
2011,5.4,5.89,12.12,7.29,2.69,1996,4
2012,8.41,4.91,10.86,7.37,4.67,1996,5
2013,-2.98,-1.63,-7.65,-6.5,-0.77,1996,6
2014,-8.56,-6.7,-13.64,-14.6,-5.34,1996,7
2015,4.4,3.84,4.91,5.41,4.51,1996,8
2016,1.53,3.05,4.29,4.01,2.91,1996,9
2017,-3.15,0.8,-5.58,-7.28,-0.4,1996,10
2018,1.72,4.25,2.06,0.87,2.52,1996,11
2019,-2.07,0.9,-2.58,1.07,0.24,1996,12
2020,4.75,6.34,8.59,9.37,5.68,1997,1
2021,-0.31,-2.72,-6.25,-1.38,1.67,1997,2
2022,-4.08,-2.52,-9.12,-9.81,-3.27,1997,3
2023,-2.75,-1.03,-3.36,-6.7,-0.45,1997,4
2024,7.04,9.04,14.37,10.26,6.34,1997,5
2025,4.17,4.19,3.22,2.75,5.65,1997,6
2026,3.2,5.88,6.83,1.29,6.07,1997,7
2027,2.36,3.94,6.95,2.73,1.65,1997,8
2028,7.81,7.42,9.31,11.42,8.69,1997,9
2029,-2.21,-2.05,-4.96,-2.29,-0.1,1997,10
2030,-1.24,-2.11,-4.39,-4.89,-0.1,1997,11
2031,-4.97,-2.73,-7.33,-6.75,2.21,1997,12
2032,1.02,-0.45,3.46,2.21,0.94,1998,1
2033,7.09,5.31,8.04,4.89,5.65,1998,2
2034,5.28,3.91,4.91,3.78,5.62,1998,3
2035,3.36,1.36,4.31,-0.51,3.13,1998,4
2036,-2.68,-4.52,-7.84,-4.19,-3.58,1998,5
2037,-1.97,-4.23,-2.32,-6.29,-1.53,1998,6
2038,-5.36,-7.88,-6.66,-5.52,-4.08,1998,7
2039,-19.68,-17.13,-23.8,-24.68,-18.73,1998,8
2040,0.37,3.41,5.83,7.69,3.58,1998,9
2041,3.89,3.75,6.47,4.93,1.11,1998,10
2042,11.34,1.79,16.52,7.14,4.5,1998,11
2043,4.44,-1.95,5.51,2.04,1.76,1998,12
2044,5.17,2.49,15.64,8.76,4.55,1999,1
2045,-4.11,-5.83,-7.01,-7.26,-2.55,1999,2
2046,-3.14,0.58,0.34,-1.89,-2.0,1999,3
2047,8.01,12.39,10.33,3.19,7.28,1999,4
2048,3.48,2.91,6.53,5.96,1.48,1999,5
2049,2.79,3.47,7.31,3.71,2.27,1999,6
2050,-1.05,1.26,1.89,3.97,0.07,1999,7
2051,-6.87,-2.57,-1.01,-1.62,-4.3,1999,8
2052,-3.13,-3.04,1.89,-1.29,-2.93,1999,9
2053,-2.45,-3.22,4.99,-2.66,-0.05,1999,10
2054,4.43,1.46,27.43,13.15,2.72,1999,11
2055,1.85,3.01,24.7,15.91,1.66,1999,12
2056,1.36,3.79,11.47,23.75,-0.88,2000,1
2057,3.14,3.67,33.1,42.79,1.08,2000,2
2058,4.2,6.24,-3.44,-9.0,1.89,2000,3
2059,-5.34,-1.83,-19.95,-13.62,-3.79,2000,4
2060,-4.88,-0.38,-14.2,-7.31,-2.32,2000,5
2061,2.17,2.45,16.57,19.18,2.41,2000,6
2062,-1.56,-0.82,-8.37,-2.3,1.78,2000,7
2063,3.01,6.4,8.86,12.33,4.12,2000,8
2064,-4.14,-2.02,-11.42,-0.12,-1.0,2000,9
2065,-5.29,-3.43,-12.94,-8.01,-3.51,2000,10
2066,-9.37,-6.28,-26.75,-13.62,-5.64,2000,11
2067,-2.6,6.2,-9.05,-3.65,2.76,2000,12
2068,24.17,10.82,47.34,21.89,15.34,2001,1
