,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
489,-1.83,-2.01,-3.1,3.45,-2.84,0.08,2004,4
490,1.17,-0.38,-0.25,-1.18,0.03,0.06,2004,5
491,1.86,2.56,1.18,1.2,-0.39,0.08,2004,6
492,-4.06,-2.95,3.24,5.32,-1.66,0.1,2004,7
493,0.08,-1.13,0.97,1.23,-1.47,0.11,2004,8
494,1.6,3.27,0.0,-1.49,-1.88,0.11,2004,9
495,1.43,0.19,-0.22,-0.52,0.49,0.11,2004,10
496,4.54,4.11,1.41,-0.58,-0.22,0.15,2004,11
497,3.43,-0.05,-0.22,-1.16,0.46,0.16,2004,12
498,-2.76,-1.17,2.06,2.74,-1.46,0.16,2005,1
499,1.89,-0.31,1.54,1.43,-0.05,0.16,2005,2
500,-1.97,-1.42,2.04,0.47,1.29,0.21,2005,3
501,-2.61,-3.98,0.07,0.97,-0.94,0.21,2005,4
502,3.65,2.79,-0.64,-1.0,0.3,0.24,2005,5
503,0.57,3.28,2.83,0.96,-0.51,0.23,2005,6
504,3.92,2.81,-0.79,-1.19,-0.82,0.24,2005,7
505,-1.22,-0.89,1.32,-2.05,0.37,0.3,2005,8
506,0.49,-0.34,0.71,0.27,-0.6,0.29,2005,9
507,-2.02,-1.45,0.42,-0.93,-1.3,0.27,2005,10
508,3.61,0.84,-1.16,-0.76,-1.14,0.31,2005,11
509,-0.25,-0.2,0.2,0.21,0.23,0.32,2005,12
510,3.04,5.75,1.08,-0.64,-0.46,0.35,2006,1
511,-0.3,-0.42,-0.34,-0.51,1.91,0.34,2006,2
512,1.46,3.38,0.6,0.06,-0.41,0.37,2006,3
513,0.73,-0.84,2.34,1.8,0.01,0.36,2006,4
514,-3.57,-2.85,2.41,1.15,1.46,0.43,2006,5
515,-0.35,-0.24,0.85,1.32,-0.07,0.4,2006,6
516,-0.78,-3.63,2.6,1.63,0.9,0.4,2006,7
517,2.03,0.44,-2.06,-1.86,2.09,0.42,2006,8
518,1.84,-1.46,0.08,0.82,0.6,0.41,2006,9
519,3.23,1.98,-0.31,-0.12,0.28,0.41,2006,10
520,1.71,0.71,0.14,0.15,-0.8,0.42,2006,11
521,0.87,-0.81,2.73,-0.72,2.06,0.4,2006,12
522,1.4,0.07,-0.68,0.25,0.38,0.44,2007,1
523,-1.96,1.29,-0.14,-0.51,-0.71,0.38,2007,2
524,0.68,0.2,-0.97,0.64,-0.65,0.43,2007,3
525,3.49,-2.04,-1.45,1.15,1.03,0.44,2007,4
526,3.24,0.4,-0.65,1.58,-1.36,0.41,2007,5
527,-1.96,0.74,-1.05,0.53,0.08,0.4,2007,6
528,-3.73,-2.99,-3.71,0.2,-1.13,0.4,2007,7
529,0.92,-0.37,-1.86,-1.21,-0.53,0.42,2007,8
530,3.22,-2.44,-2.21,-0.52,-3.02,0.32,2007,9
531,1.8,-0.08,-2.98,-0.3,-0.09,0.32,2007,10
532,-4.83,-3.02,-0.94,1.89,-0.29,0.34,2007,11
533,-0.87,0.15,-0.55,0.87,-1.05,0.27,2007,12
534,-6.36,-0.65,3.97,2.14,2.14,0.21,2008,1
535,-3.09,-0.66,-0.84,0.88,-0.93,0.13,2008,2
536,-0.93,0.56,0.3,0.79,0.5,0.17,2008,3
537,4.6,-1.2,-0.94,1.64,-2.47,0.18,2008,4
538,1.86,3.02,-1.43,0.93,-0.06,0.18,2008,5
539,-8.44,1.18,-2.71,4.96,-0.55,0.17,2008,6
540,-0.77,3.72,5.42,-1.37,1.08,0.15,2008,7
541,1.53,3.46,1.59,1.86,0.84,0.13,2008,8
542,-9.24,0.25,5.91,2.41,1.78,0.15,2008,9
543,-17.23,-3.34,-2.3,3.04,2.05,0.08,2008,10
544,-7.86,-3.89,-6.31,4.53,2.75,0.03,2008,11
545,1.74,3.29,0.14,0.06,-1.49,0.0,2008,12
546,-8.12,-2.14,-11.29,0.18,-1.17,0.0,2009,1
547,-10.1,-1.32,-6.95,1.19,-1.02,0.01,2009,2
548,8.95,0.67,3.47,-2.52,-2.25,0.02,2009,3
549,10.18,7.13,5.36,1.31,0.13,0.01,2009,4
550,5.21,-2.32,0.28,-0.78,-2.17,0.0,2009,5
551,0.43,2.29,-2.73,-1.41,-0.33,0.01,2009,6
552,7.72,2.39,4.83,-0.46,3.14,0.01,2009,7
553,3.33,-0.09,7.63,-3.02,3.34,0.01,2009,8
554,4.08,2.73,1.05,1.31,0.36,0.01,2009,9
555,-2.59,-4.93,-4.21,4.17,-1.51,0.0,2009,10
556,5.56,-2.68,-0.34,1.0,0.12,0.0,2009,11
557,2.75,6.24,-0.17,1.02,-0.09,0.01,2009,12
558,-3.36,0.34,0.43,-1.27,0.46,0.0,2010,1
559,3.4,1.51,3.23,-0.27,1.43,0.0,2010,2
560,6.31,1.85,2.21,-0.65,1.69,0.01,2010,3
561,2.0,4.98,2.89,0.69,1.72,0.01,2010,4
562,-7.89,0.04,-2.44,1.3,-0.21,0.01,2010,5
563,-5.57,-2.47,-4.7,-0.16,-1.55,0.01,2010,6
564,6.93,0.12,-0.31,0.24,2.01,0.01,2010,7
565,-4.77,-3.15,-1.9,0.53,-1.59,0.01,2010,8
566,9.54,3.75,-3.16,-0.21,0.38,0.01,2010,9
567,3.88,0.8,-2.43,1.19,-0.26,0.01,2010,10
568,0.6,3.67,-0.96,0.45,1.59,0.01,2010,11
569,6.82,1.03,3.7,-3.44,3.16,0.01,2010,12
570,1.99,-2.43,0.83,-0.76,0.83,0.01,2011,1
571,3.49,1.65,1.27,-1.94,0.88,0.01,2011,2
