,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Year,Month
2169,-1.34,8.37,2.07,-8.04,7.73,1.98,4.7,10.73,6.0,0.2,2009,6
2170,14.8,19.71,12.61,6.5,8.7,7.48,9.59,9.09,5.09,6.28,2009,7
2171,8.83,10.9,8.22,3.69,6.01,19.67,6.43,5.62,0.98,6.01,2009,8
2172,6.52,8.39,9.34,17.56,10.72,11.93,5.81,8.39,2.7,2.45,2009,9
2173,-2.34,-4.19,-6.0,-5.29,-6.66,-3.7,-4.21,-10.53,-2.41,-7.25,2009,10
2174,1.28,5.84,5.3,-1.24,2.89,4.49,1.36,3.2,3.87,-0.38,2009,11
2175,6.95,8.5,8.4,9.03,8.61,10.3,5.69,8.14,6.32,3.7,2009,12
2176,0.14,-1.0,-2.29,-2.46,-3.0,-4.04,-1.17,-0.02,-4.06,2.13,2010,1
2177,5.92,5.0,4.75,5.46,5.22,3.32,5.84,2.16,0.56,2.58,2010,2
2178,9.85,8.52,8.84,3.51,8.07,11.12,10.47,8.09,4.51,7.07,2010,3
2179,5.56,10.27,8.76,9.43,5.18,10.82,7.57,6.96,3.64,9.29,2010,4
2180,-6.43,-9.71,-8.66,-12.84,-6.93,-7.44,-7.18,-9.0,-6.13,-8.27,2010,5
2181,-6.09,-11.55,-8.43,-6.08,-6.04,-6.83,-10.17,-7.7,-0.83,-8.85,2010,6
2182,5.7,8.34,8.7,7.55,6.53,7.44,6.03,3.03,5.91,4.41,2010,7
2183,-7.96,-6.85,-7.52,-7.02,-5.78,-8.76,-8.14,-5.54,-1.26,-7.39,2010,8
2184,9.01,12.66,11.6,12.61,13.91,11.54,14.11,11.24,5.01,8.03,2010,9
2185,2.13,7.83,7.37,4.69,6.03,5.74,3.87,2.85,2.57,2.72,2010,10
2186,3.18,2.94,3.69,10.48,1.57,1.94,4.08,-0.02,-0.2,1.2,2010,11
2187,5.79,6.59,9.24,11.38,8.25,6.46,5.51,10.49,3.7,9.01,2010,12
2188,-0.86,0.75,2.4,8.33,3.43,1.52,-0.7,1.26,1.75,1.88,2011,1
2189,3.53,-1.57,3.82,11.39,5.06,8.38,5.96,3.46,3.63,2.92,2011,2
2190,1.38,2.1,3.11,4.65,1.04,-0.26,0.79,2.77,2.25,-0.48,2011,3
2191,2.24,2.29,0.21,-0.39,1.4,1.77,2.36,5.02,3.17,0.23,2011,4
2192,-0.86,-4.37,-2.96,-7.14,-2.28,1.58,-0.2,-0.18,0.33,-2.72,2011,5
2193,-1.68,-1.94,-2.16,-5.13,-2.97,-2.35,-1.25,-4.12,-0.37,-2.17,2011,6
2194,-0.55,-5.17,-2.49,2.85,-4.48,-7.03,-1.77,-3.15,-1.03,-1.98,2011,7
2195,-8.41,-12.21,-9.72,-16.21,-10.03,-10.09,-8.39,-11.37,0.17,-8.21,2011,8
2196,-8.43,-14.32,-14.45,-20.61,-10.95,-12.35,-8.33,-9.36,-3.17,-9.84,2011,9
